Age_ka,Depth_top_m,Depth_bottom_m,Ca_ppb,Age_b2k,CV_Ca,eta
11.67,1492.94,0.099,88.18,11670.0,,
11.69,1493.62,0.1,86.54,11690.0,,
11.71,1494.26,0.1,115.4,11710.0,,
11.73,1494.85,0.101,89.57,11730.0,,
11.75,1495.43,0.102,118.78,11750.0,,
11.77,1496.06,0.102,110.21,11770.0,,
11.79,1496.68,0.103,106.38,11790.0,,
11.81,1497.25,0.104,129.55,11810.0,,
11.83,1497.81,0.104,116.09,11830.0,,
11.85,1498.35,0.105,116.68,11850.0,,
11.87,1498.93,0.106,132.42,11870.0,,
11.89,1499.53,0.106,152.35,11890.0,,
11.91,1500.15,0.107,123.26,11910.0,,
11.93,1500.74,0.108,112.73,11930.0,,
11.95,1501.29,0.108,127.57,11950.0,,
11.97,1501.85,0.109,113.79,11970.0,,
11.99,1502.51,0.11,91.89,11990.0,,
12.01,1503.09,0.11,113.46,12010.0,,
12.03,1503.65,0.111,108.72,12030.0,,
12.05,1504.25,0.112,120.46,12050.0,,
12.07,1504.78,0.112,125.78,12070.0,,
12.09,1505.35,0.113,139.72,12090.0,,
12.11,1505.87,0.114,143.98,12110.0,,
12.13,1506.37,0.114,165.34,12130.0,,
12.17,1507.49,0.115,135.97,12170.0,,
12.19,1508.03,0.116,163.45,12190.0,,
12.21,1508.58,0.117,149.1,12210.0,,
12.23,1509.2,0.117,146.89,12230.0,,
12.25,1509.74,0.118,146.81,12250.0,,
12.27,1510.29,0.119,138.2,12270.0,,
12.29,1510.78,0.119,189.82,12290.0,0.3720052720287179,1.3824089624488205
12.31,1511.34,0.12,212.2,12310.0,0.3832519824047637,1.4015283700880983
12.33,1511.83,0.121,121.14,12330.0,0.39256729942719504,1.4173644090262316
12.35,1512.41,0.121,143.43,12350.0,0.4069911658676394,1.441884981974987
12.37,1512.95,0.122,134.62,12370.0,0.41959763625012036,1.4633159816252046
12.39,1513.56,0.123,102.11,12390.0,0.4345169027912137,1.4886787347450632
